campaignsUsername	blacklisted	lastlogin	passwordsalt	password	registration_date	role	Upin
test1026campuser1@goevive.com				$2a$12$StlPCyQSTmEvLGSS3DqIgu/APrxSYDeDk938/rv7awB7YF8QD8vj2		user	TEST_1026_CAMP_USER1
test1026campuser2@goevive.com				$2a$12$StlPCyQSTmEvLGSS3DqIgu/APrxSYDeDk938/rv7awB7YF8QD8vj2		user	TEST_1026_CAMP_USER2
test1026campuser3@goevive.com				$2a$12$StlPCyQSTmEvLGSS3DqIgu/APrxSYDeDk938/rv7awB7YF8QD8vj2		user	TEST_1026_CAMP_USER3
test1026campuser4@goevive.com				$2a$12$StlPCyQSTmEvLGSS3DqIgu/APrxSYDeDk938/rv7awB7YF8QD8vj2		user	TEST_1026_CAMP_USER4
test1026campuser5@goevive.com				$2a$12$StlPCyQSTmEvLGSS3DqIgu/APrxSYDeDk938/rv7awB7YF8QD8vj2		user	TEST_1026_CAMP_USER5
test1026campuser6@goevive.com				$2a$12$StlPCyQSTmEvLGSS3DqIgu/APrxSYDeDk938/rv7awB7YF8QD8vj2		user	TEST_1026_CAMP_USER6
test1026campuser7@goevive.com				$2a$12$StlPCyQSTmEvLGSS3DqIgu/APrxSYDeDk938/rv7awB7YF8QD8vj2		user	TEST_1026_CAMP_USER7
test1026campuser8@goevive.com				$2a$12$StlPCyQSTmEvLGSS3DqIgu/APrxSYDeDk938/rv7awB7YF8QD8vj2		user	TEST_1026_CAMP_USER8
test1026campuser9@goevive.com				$2a$12$StlPCyQSTmEvLGSS3DqIgu/APrxSYDeDk938/rv7awB7YF8QD8vj2		user	TEST_1026_CAMP_USER9
test1026campuser10@goevive.com				$2a$12$StlPCyQSTmEvLGSS3DqIgu/APrxSYDeDk938/rv7awB7YF8QD8vj2		user	TEST_1026_CAMP_USER10
test1026campuser11@goevive.com				$2a$12$StlPCyQSTmEvLGSS3DqIgu/APrxSYDeDk938/rv7awB7YF8QD8vj2		user	TEST_1026_CAMP_USER11
test1026campuser12@goevive.com				$2a$12$StlPCyQSTmEvLGSS3DqIgu/APrxSYDeDk938/rv7awB7YF8QD8vj2		user	TEST_1026_CAMP_USER12
test1026campuser13@goevive.com				$2a$12$StlPCyQSTmEvLGSS3DqIgu/APrxSYDeDk938/rv7awB7YF8QD8vj2		user	TEST_1026_CAMP_USER13
test1026campuser14@goevive.com				$2a$12$StlPCyQSTmEvLGSS3DqIgu/APrxSYDeDk938/rv7awB7YF8QD8vj2		user	TEST_1026_CAMP_USER14
test1026campuser15@goevive.com				$2a$12$StlPCyQSTmEvLGSS3DqIgu/APrxSYDeDk938/rv7awB7YF8QD8vj2		user	TEST_1026_CAMP_USER15
