campaignsUsername	blacklisted	lastlogin	passwordsalt	password	registration_date	role	Upin
test1034genuser1@goevive.com				$2a$12$StlPCyQSTmEvLGSS3DqIgu/APrxSYDeDk938/rv7awB7YF8QD8vj2		user	TEST_1034_GEN_USER1
test1034genuser2@goevive.com				$2a$12$StlPCyQSTmEvLGSS3DqIgu/APrxSYDeDk938/rv7awB7YF8QD8vj2		user	TEST_1034_GEN_USER2
test1034genuser3@goevive.com				$2a$12$StlPCyQSTmEvLGSS3DqIgu/APrxSYDeDk938/rv7awB7YF8QD8vj2		user	TEST_1034_GEN_USER3
test1034genuser4@goevive.com				$2a$12$StlPCyQSTmEvLGSS3DqIgu/APrxSYDeDk938/rv7awB7YF8QD8vj2		user	TEST_1034_GEN_USER4
test1034genuser5@goevive.com				$2a$12$StlPCyQSTmEvLGSS3DqIgu/APrxSYDeDk938/rv7awB7YF8QD8vj2		user	TEST_1034_GEN_USER5
test1034genuser6@goevive.com				$2a$12$StlPCyQSTmEvLGSS3DqIgu/APrxSYDeDk938/rv7awB7YF8QD8vj2		user	TEST_1034_GEN_USER6
test1034genuser7@goevive.com				$2a$12$StlPCyQSTmEvLGSS3DqIgu/APrxSYDeDk938/rv7awB7YF8QD8vj2		user	TEST_1034_GEN_USER7
test1034genuser8@goevive.com				$2a$12$StlPCyQSTmEvLGSS3DqIgu/APrxSYDeDk938/rv7awB7YF8QD8vj2		user	TEST_1034_GEN_USER8
test1034genuser9@goevive.com				$2a$12$StlPCyQSTmEvLGSS3DqIgu/APrxSYDeDk938/rv7awB7YF8QD8vj2		user	TEST_1034_GEN_USER9
test1034genuser10@goevive.com				$2a$12$StlPCyQSTmEvLGSS3DqIgu/APrxSYDeDk938/rv7awB7YF8QD8vj2		user	TEST_1034_GEN_USER10
test1034genuser11@goevive.com				$2a$12$StlPCyQSTmEvLGSS3DqIgu/APrxSYDeDk938/rv7awB7YF8QD8vj2		user	TEST_1034_GEN_USER11
test1034genuser12@goevive.com				$2a$12$StlPCyQSTmEvLGSS3DqIgu/APrxSYDeDk938/rv7awB7YF8QD8vj2		user	TEST_1034_GEN_USER12
test1034genuser13@goevive.com				$2a$12$StlPCyQSTmEvLGSS3DqIgu/APrxSYDeDk938/rv7awB7YF8QD8vj2		user	TEST_1034_GEN_USER13
test1034genuser14@goevive.com				$2a$12$StlPCyQSTmEvLGSS3DqIgu/APrxSYDeDk938/rv7awB7YF8QD8vj2		user	TEST_1034_GEN_USER14
test1034genuser15@goevive.com				$2a$12$StlPCyQSTmEvLGSS3DqIgu/APrxSYDeDk938/rv7awB7YF8QD8vj2		user	TEST_1034_GEN_USER15
test1034genuser16@goevive.com				$2a$12$StlPCyQSTmEvLGSS3DqIgu/APrxSYDeDk938/rv7awB7YF8QD8vj2		user	TEST_1034_GEN_USER16
test1034genuser17@goevive.com				$2a$12$StlPCyQSTmEvLGSS3DqIgu/APrxSYDeDk938/rv7awB7YF8QD8vj2		user	TEST_1034_GEN_USER17
test1034genuser18@goevive.com				$2a$12$StlPCyQSTmEvLGSS3DqIgu/APrxSYDeDk938/rv7awB7YF8QD8vj2		user	TEST_1034_GEN_USER18
test1034genuser19@goevive.com				$2a$12$StlPCyQSTmEvLGSS3DqIgu/APrxSYDeDk938/rv7awB7YF8QD8vj2		user	TEST_1034_GEN_USER19
test1034genuser20@goevive.com				$2a$12$StlPCyQSTmEvLGSS3DqIgu/APrxSYDeDk938/rv7awB7YF8QD8vj2		user	TEST_1034_GEN_USER20
test1034genuser21@goevive.com				$2a$12$StlPCyQSTmEvLGSS3DqIgu/APrxSYDeDk938/rv7awB7YF8QD8vj2		user	TEST_1034_GEN_USER21
test1034genuser22@goevive.com				$2a$12$StlPCyQSTmEvLGSS3DqIgu/APrxSYDeDk938/rv7awB7YF8QD8vj2		user	TEST_1034_GEN_USER22
test1034genuser23@goevive.com				$2a$12$StlPCyQSTmEvLGSS3DqIgu/APrxSYDeDk938/rv7awB7YF8QD8vj2		user	TEST_1034_GEN_USER23
