campaignsUsername	blacklisted	lastlogin	password	passwordsalt	registration_date	role	Upin
test1011campuser1@goevive.com			$2a$12$StlPCyQSTmEvLGSS3DqIgu/APrxSYDeDk938/rv7awB7YF8QD8vj2			user	TEST_1011_CAMP_USER1
test1011campuser2@goevive.com			$2a$12$StlPCyQSTmEvLGSS3DqIgu/APrxSYDeDk938/rv7awB7YF8QD8vj2			user	TEST_1011_CAMP_USER2
test1011campuser3@goevive.com			$2a$12$StlPCyQSTmEvLGSS3DqIgu/APrxSYDeDk938/rv7awB7YF8QD8vj2			user	TEST_1011_CAMP_USER3
test1011campuser4@goevive.com			$2a$12$StlPCyQSTmEvLGSS3DqIgu/APrxSYDeDk938/rv7awB7YF8QD8vj2			user	TEST_1011_CAMP_USER4
test1011campuser5@goevive.com			$2a$12$StlPCyQSTmEvLGSS3DqIgu/APrxSYDeDk938/rv7awB7YF8QD8vj2			user	TEST_1011_CAMP_USER5
test1011campuser6@goevive.com			$2a$12$StlPCyQSTmEvLGSS3DqIgu/APrxSYDeDk938/rv7awB7YF8QD8vj2			user	TEST_1011_CAMP_USER6
test1011campuser7@goevive.com			$2a$12$StlPCyQSTmEvLGSS3DqIgu/APrxSYDeDk938/rv7awB7YF8QD8vj2			user	TEST_1011_CAMP_USER7
test1011campuser8@goevive.com			$2a$12$StlPCyQSTmEvLGSS3DqIgu/APrxSYDeDk938/rv7awB7YF8QD8vj2			user	TEST_1011_CAMP_USER8
test1011campuser9@goevive.com			$2a$12$StlPCyQSTmEvLGSS3DqIgu/APrxSYDeDk938/rv7awB7YF8QD8vj2			user	TEST_1011_CAMP_USER9
test1011campuser10@goevive.com			$2a$12$StlPCyQSTmEvLGSS3DqIgu/APrxSYDeDk938/rv7awB7YF8QD8vj2			user	TEST_1011_CAMP_USER10
test1011campuser11@goevive.com			$2a$12$StlPCyQSTmEvLGSS3DqIgu/APrxSYDeDk938/rv7awB7YF8QD8vj2			user	TEST_1011_CAMP_USER11
test1011campuser12@goevive.com			$2a$12$StlPCyQSTmEvLGSS3DqIgu/APrxSYDeDk938/rv7awB7YF8QD8vj2			user	TEST_1011_CAMP_USER12
test1011campuser13@goevive.com			$2a$12$StlPCyQSTmEvLGSS3DqIgu/APrxSYDeDk938/rv7awB7YF8QD8vj2			user	TEST_1011_CAMP_USER13
test1011campuser14@goevive.com			$2a$12$StlPCyQSTmEvLGSS3DqIgu/APrxSYDeDk938/rv7awB7YF8QD8vj2			user	TEST_1011_CAMP_USER14
