campaignsUsername	blacklisted	lastlogin	passwordsalt	password	registration_date	role	Upin
test1027genuser1@goevive.com				$2a$12$StlPCyQSTmEvLGSS3DqIgu/APrxSYDeDk938/rv7awB7YF8QD8vj2		user	TEST_1027_GEN_USER1
test1027genuser2@goevive.com				$2a$12$StlPCyQSTmEvLGSS3DqIgu/APrxSYDeDk938/rv7awB7YF8QD8vj2		user	TEST_1027_GEN_USER2
test1027genuser3@goevive.com				$2a$12$StlPCyQSTmEvLGSS3DqIgu/APrxSYDeDk938/rv7awB7YF8QD8vj2		user	TEST_1027_GEN_USER3
test1027genuser4@goevive.com				$2a$12$StlPCyQSTmEvLGSS3DqIgu/APrxSYDeDk938/rv7awB7YF8QD8vj2		user	TEST_1027_GEN_USER4
test1027genuser5@goevive.com				$2a$12$StlPCyQSTmEvLGSS3DqIgu/APrxSYDeDk938/rv7awB7YF8QD8vj2		user	TEST_1027_GEN_USER5
test1027genuser6@goevive.com				$2a$12$StlPCyQSTmEvLGSS3DqIgu/APrxSYDeDk938/rv7awB7YF8QD8vj2		user	TEST_1027_GEN_USER6
test1027genuser7@goevive.com				$2a$12$StlPCyQSTmEvLGSS3DqIgu/APrxSYDeDk938/rv7awB7YF8QD8vj2		user	TEST_1027_GEN_USER7
test1027genuser8@goevive.com				$2a$12$StlPCyQSTmEvLGSS3DqIgu/APrxSYDeDk938/rv7awB7YF8QD8vj2		user	TEST_1027_GEN_USER8
test1027genuser9@goevive.com				$2a$12$StlPCyQSTmEvLGSS3DqIgu/APrxSYDeDk938/rv7awB7YF8QD8vj2		user	TEST_1027_GEN_USER9
test1027genuser10@goevive.com				$2a$12$StlPCyQSTmEvLGSS3DqIgu/APrxSYDeDk938/rv7awB7YF8QD8vj2		user	TEST_1027_GEN_USER10
test1027genuser11@goevive.com				$2a$12$StlPCyQSTmEvLGSS3DqIgu/APrxSYDeDk938/rv7awB7YF8QD8vj2		user	TEST_1027_GEN_USER11
test1027genuser12@goevive.com				$2a$12$StlPCyQSTmEvLGSS3DqIgu/APrxSYDeDk938/rv7awB7YF8QD8vj2		user	TEST_1027_GEN_USER12
test1027genuser13@goevive.com				$2a$12$StlPCyQSTmEvLGSS3DqIgu/APrxSYDeDk938/rv7awB7YF8QD8vj2		user	TEST_1027_GEN_USER13
test1027genuser14@goevive.com				$2a$12$StlPCyQSTmEvLGSS3DqIgu/APrxSYDeDk938/rv7awB7YF8QD8vj2		user	TEST_1027_GEN_USER14
test1027genuser15@goevive.com				$2a$12$StlPCyQSTmEvLGSS3DqIgu/APrxSYDeDk938/rv7awB7YF8QD8vj2		user	TEST_1027_GEN_USER15
test1027genuser16@goevive.com				$2a$12$StlPCyQSTmEvLGSS3DqIgu/APrxSYDeDk938/rv7awB7YF8QD8vj2		user	TEST_1027_GEN_USER16
test1027genuser17@goevive.com				$2a$12$StlPCyQSTmEvLGSS3DqIgu/APrxSYDeDk938/rv7awB7YF8QD8vj2		user	TEST_1027_GEN_USER17
test1027genuser18@goevive.com				$2a$12$StlPCyQSTmEvLGSS3DqIgu/APrxSYDeDk938/rv7awB7YF8QD8vj2		user	TEST_1027_GEN_USER18
test1027genuser19@goevive.com				$2a$12$StlPCyQSTmEvLGSS3DqIgu/APrxSYDeDk938/rv7awB7YF8QD8vj2		user	TEST_1027_GEN_USER19
test1027genuser20@goevive.com				$2a$12$StlPCyQSTmEvLGSS3DqIgu/APrxSYDeDk938/rv7awB7YF8QD8vj2		user	TEST_1027_GEN_USER20
test1027genuser21@goevive.com				$2a$12$StlPCyQSTmEvLGSS3DqIgu/APrxSYDeDk938/rv7awB7YF8QD8vj2		user	TEST_1027_GEN_USER21
test1027genuser22@goevive.com				$2a$12$StlPCyQSTmEvLGSS3DqIgu/APrxSYDeDk938/rv7awB7YF8QD8vj2		user	TEST_1027_GEN_USER22
test1027genuser23@goevive.com				$2a$12$StlPCyQSTmEvLGSS3DqIgu/APrxSYDeDk938/rv7awB7YF8QD8vj2		user	TEST_1027_GEN_USER23
test1027genuser24@goevive.com				$2a$12$StlPCyQSTmEvLGSS3DqIgu/APrxSYDeDk938/rv7awB7YF8QD8vj2		user	TEST_1027_GEN_USER24
